"","observed_on","year","prism_tmin","prism_tmax","Month","Day","yday","Latitude","id","local_hour","hour_temperature","color","colorid","season"
"175","2018-04-22",2018,9.29912081190864,24.4099682511336,4,22,112,30,11328429,14,24.4099682511336,"green",1,"Breeding season"
"176","2018-04-23",2018,9.29912081190864,24.4099682511336,4,23,113,30,11366505,13,24.1554790262219,"brown",0,"Breeding season"
"177","2018-04-23",2018,9.29912081190864,24.4099682511336,4,23,113,30,11392964,18,20.5072796807062,"brown",0,"Breeding season"
"178","2018-04-26",2018,9.29912081190864,24.4099682511336,4,26,116,30,11460367,13,24.1578835799731,"green",1,"Breeding season"
"179","2018-04-28",2018,9.29912081190864,24.4099682511336,4,28,118,30,11679486,15,24.1594380923577,"brown",0,"Breeding season"
"180","2018-04-29",2018,9.29912081190864,24.4099682511336,4,29,119,30,11769966,11,22.2113258368126,"green",1,"Breeding season"
"181","2018-04-29",2018,9.29912081190864,24.4099682511336,4,29,119,30,11775567,12,23.419153747786,"brown",0,"Breeding season"
"182","2018-05-02",2018,19.1719823643294,31.1902748211071,5,2,122,30,12118260,17,29.4568399912605,"green",1,"Breeding season"
"183","2018-05-05",2018,19.1719823643294,31.1902748211071,5,5,125,30,12157803,9,26.6204791377174,"brown",0,"Breeding season"
"184","2018-05-06",2018,19.1719823643294,31.1902748211071,5,6,126,30,12218217,11,29.4761507542069,"green",1,"Breeding season"
"185","2018-05-08",2018,19.1719823643294,31.1902748211071,5,8,128,30,12279286,18,28.2162622027174,"brown",0,"Breeding season"
"186","2018-05-01",2018,19.1719823643294,31.1902748211071,5,1,121,30,12313752,22,22.3833267950923,"green",1,"Breeding season"
"187","2018-05-10",2018,19.1719823643294,31.1902748211071,5,10,130,30,12326521,13,30.9977369332813,"green",1,"Breeding season"
"188","2018-05-12",2018,19.1719823643294,31.1902748211071,5,12,132,30,12398131,10,28.2461434266625,"brown",0,"Breeding season"
"189","2018-05-04",2018,19.1719823643294,31.1902748211071,5,4,124,30,12455507,0,19.1719823643294,"brown",0,"Breeding season"
"190","2018-05-14",2018,19.1719823643294,31.1902748211071,5,14,134,31,12463531,18,28.2801173974272,"brown",0,"Breeding season"
"191","2018-05-18",2018,19.1719823643294,31.1902748211071,5,18,138,30,12575055,10,28.2867238544822,"brown",0,"Breeding season"
"192","2018-05-27",2018,19.1719823643294,31.1902748211071,5,27,147,30,12989011,16,30.4544818469991,"brown",0,"Breeding season"
"193","2018-06-03",2018,23.1322742559712,34.8122036971463,6,3,154,30,13096282,19,30.5939553160432,"brown",0,"Breeding season"
"194","2018-06-14",2018,23.1322742559712,34.8122036971463,6,14,165,30,13431354,15,34.6358930119827,"green",1,"Breeding season"
"195","2018-06-15",2018,23.1322742559712,34.8122036971463,6,15,166,30,13516865,14,34.8122036971463,"green",1,"Breeding season"
"196","2018-06-21",2018,23.1322742559712,34.8122036971463,6,21,172,30,13651707,10,32.1024267395248,"brown",0,"Breeding season"
"197","2018-06-17",2018,23.1322742559712,34.8122036971463,6,17,168,30,13688811,17,33.2593534536461,"brown",0,"Breeding season"
"198","2018-06-21",2018,23.1322742559712,34.8122036971463,6,21,172,30,13746993,22,26.3060243721586,"green",1,"Breeding season"
"199","2018-06-29",2018,23.1322742559712,34.8122036971463,6,29,180,30,13894155,11,33.2580359108163,"green",1,"Breeding season"
"200","2018-06-30",2018,23.1322742559712,34.8122036971463,6,30,181,30,13918670,10,32.0964474702738,"green",1,"Breeding season"
"201","2018-07-10",2018,23.0753492061563,36.7133198143243,7,10,191,30,14229217,10,33.5138148013701,"brown",0,"Breeding season"
"202","2018-07-11",2018,23.0753492061563,36.7133198143243,7,11,192,30,14260536,11,34.8786925142099,"green",1,"Breeding season"
"203","2018-07-15",2018,23.0753492061563,36.7133198143243,7,15,196,30,14392734,14,36.7133198143243,"green",1,"Breeding season"
"204","2018-07-18",2018,23.0753492061563,36.7133198143243,7,18,199,30,14480035,11,34.8590660375724,"green",1,"Breeding season"
"205","2018-07-16",2018,23.0753492061563,36.7133198143243,7,16,197,30,14495131,17,34.8652465467379,"green",1,"Breeding season"
"206","2018-07-19",2018,23.0753492061563,36.7133198143243,7,19,200,30,14511937,8,29.7892666710712,"green",1,"Breeding season"
"207","2018-07-23",2018,23.0753492061563,36.7133198143243,7,23,204,30,14674406,18,33.4464275135845,"green",1,"Breeding season"
"208","2018-07-30",2018,23.0753492061563,36.7133198143243,7,30,211,30,14970708,19,31.3845534485542,"brown",0,"Breeding season"
"209","2018-08-02",2018,22.6719529764713,35.8789353423929,8,2,214,30,15066175,0,22.6719529764713,"green",1,"Breeding season"
"210","2017-04-26",2017,13.1845393915306,26.2676978259841,4,26,116,30,15088085,13,26.0494398027359,"brown",0,"Breeding season"
